Region,Zone,State,Logistics Zone,Ship-To-Party Region,Distribution Channel,Business Area,Delivery Qty.,Route Distance,Shipment Description,Wheeler No.,Truck type Description,PTPK
NE,A,AS,LO1,AC,TR,G,9.5,86,PDR,6W,Market Truck,9.59
NE,A,AS,SIV,AC,TR,G,5,303,PDR,12W,Market Truck,2.97
NE,A,AS,SIV,AC,TR,G,10,303,PDR,12W,Market Truck,2.97
NE,A,AS,TEZ,AC,TR,G,40,184,PDR,12W,Market Truck,3.64
NE,A,AP,DHE,AD,TR,G,11,84,SDR,6W,Market Truck,22.62
NE,A,AS,LO1,AC,TR,G,9.5,108,PDR,6W,Market Truck,8.07
NE,A,AS,LO1,AC,TR,G,9.5,83,PDR,6W,Market Truck,10.01
NE,A,AS,LO1,AC,TR,G,9.5,83,PDR,6W,Market Truck,10.01
NE,A,AP,DHE,AD,TR,G,12,144,SDR,6W,Market Truck,13.19
NE,A,AP,DHE,AD,TR,G,11,84,SDR,6W,Market Truck,22.62
NE,A,AP,DHE,AD,TR,G,1,84,SDR,6W,Market Truck,22.62
NE,A,AS,LO1,AC,TR,G,9.5,83,PDR,6W,Market Truck,10.01
NE,A,AS,LO1,AC,TR,G,9.5,83,PDR,6W,Market Truck,10.01
NE,A,AS,LO1,AC,TR,G,11,149,PDR,6W,Market Truck,5.47
NE,A,AS,TEZ,AC,TR,G,10,182,PDR,12W,Market Truck,3.74
NE,A,AS,NAG,AC,TR,G,5,149,PDR,6W,Market Truck,4.53
NE,A,AS,TEZ,AC,TR,G,15,182,PDR,12W,Market Truck,3.74
NE,A,AS,NAG,AC,TR,G,7,149,PDR,6W,Market Truck,4.53
NE,A,AS,LO1,AC,TR,G,9.5,74,PDR,6W,Market Truck,10.55
NE,A,AS,LO1,AC,TR,G,12,54,PDR,6W,Market Truck,14.69
NE,B,TR,DHA,BB,TR,L,25,122,SDR,12W,Market Truck,4.43
NE,B,TR,DHA,BB,TR,L,25,122,SDR,12W,Market Truck,4.43
NE,B,TR,DHA,BB,TR,L,25,24,SDR,12W,Market Truck,3.33
NE,A,AS,LO1,AC,TR,L,12.5,126,SDR,6W,Market Truck,6.68
NE,A,AS,TIN,AC,TR,G,40,483,PDR,12W,Market Truck,2.69
NE,A,AS,TIN,AC,TR,G,16,49,SDR,6W,Market Truck,8.16
NE,A,AS,LO1,AC,TR,G,9.5,74,PDR,6W,Market Truck,10.2
NE,A,AS,LO1,AC,TR,G,10.5,492,PDR,6W,Market Truck,1.51
NE,A,AS,LO1,AC,TR,G,5,74,PDR,6W,Market Truck,10.2
NE,A,AS,LO1,AC,TR,G,5,74,PDR,6W,Market Truck,10.2
NE,A,AS,DIB,AC,TR,G,40,441,PDR,12W,Market Truck,2.79
NE,A,AS,LO3,AC,TR,G,11,141,PDR,6W,Market Truck,4.02
NE,A,AS,DIB,AC,TR,G,40,427,PDR,12W,Market Truck,2.92
NE,A,AS,LO3,AC,TR,G,7.5,124,PDR,6W,Market Truck,4.57
